data_movimento,codigo_filial,codigo_produto,cc_venda_bruta
2020-05-14,001,1013,232.87
2020-05-26,001,1014,273.81
2020-05-26,001,1015,210.4
2020-05-09,001,1015,22.36
2020-05-07,001,1008,281.86
2020-05-21,001,1006,177.85
2020-05-15,001,1020,238.33
2020-05-04,001,1009,288.15
2020-05-18,001,1011,188.55
2020-05-18,001,1012,144.96
2020-05-01,001,1011,270.73
2020-05-13,001,1024,102.47
2020-05-02,001,1022,227.02
2020-05-21,001,1022,172.78
2020-05-21,001,1021,21.06
2020-05-06,001,1013,148.74
2020-05-23,001,1007,73.91
2020-05-16,001,1023,133.5
2020-05-14,001,1016,115.73
2020-05-20,001,1010,394.7
2020-05-04,001,1021,126.5
2020-05-22,001,1015,252.12
2020-05-25,001,1012,57.86
2020-05-09,001,1005,78.65
2020-05-15,001,1002,87.66
2020-05-18,001,1024,251.18
2020-05-24,001,1008,225.68
2020-05-20,001,1019,127.92
2020-05-03,001,1003,109.72
2020-05-16,001,1007,185.9
2020-05-04,001,1002,198.93
2020-05-29,001,1013,29.85
2020-05-19,001,1014,232.72
2020-05-15,001,1005,213.51
2020-05-16,001,1017,159.54
2020-05-18,001,1020,187.03
2020-05-11,001,1018,340.49
2020-05-01,001,1021,171.11
2020-05-05,001,1011,118.76
2020-05-21,001,1014,231.54
2020-05-23,001,1003,77.08
2020-05-29,001,1006,160.32
2020-05-18,001,1017,146.05
2020-05-26,001,1000,171.3
2020-05-10,001,1004,59.42
2020-05-30,001,1013,404.2
2020-05-14,001,1013,365.13
2020-05-24,001,1019,136.66
2020-05-17,001,1024,119.43
2020-05-21,001,1021,123.78
2020-05-24,001,1012,66.42
2020-05-08,001,1003,80.63
2020-05-05,001,1021,76.97
2020-05-28,001,1002,342.68
2020-05-25,001,1013,19.85
2020-05-05,001,1019,207.27
2020-05-05,001,1001,257.87
2020-05-16,001,1001,311.18
2020-05-07,001,1004,52.18
2020-05-23,001,1017,138.56
2020-05-29,001,1020,282.87
2020-05-16,001,1001,264.73
2020-05-09,001,1017,193.41
2020-05-18,001,1006,187.17
